56,"","",0,IN_PROGRESS,Могу сделать 35 отжиманий на брусьях,8,2026-06-28 15:20:44.200000
36,Прошел один урок и второй урок я тоже сегодня засчитаю.,"Уменьшил количество на один, потому что уроки усложнились",0,EXCEEDED,Пройден 1 урок по пианино,6,2026-06-21 15:20:44.200000
29,Прошел только 1 урок. Сейчас уроки намного сложнее чем были раньше и на них требуется больше времени.,"Пройдено 4 уроков по пианино, понимаю что сложно, но надо.",0,HARDER,Пройти 4 уроков по пианино,5,2026-06-14 15:20:44.200000
14,"Есть небольшой начальный экран, также накидал задач все есть","У меня есть понимаю что я от нее хочу и задачи по ее созданию, создан небольшой эскиз с ии",0,AS_PLANNED,"Составлено видение, как я хочу видеть страницу финансов",3,2026-06-01 15:20:44.200000
5,Да я сделал раздел который готов к работе и завтра испытаю его как раз переход на новый месяц.,"Я могу работать со своими финансами на своем сайте, мне удобно получать информацию и я реально пользуюсь его советами",0,AS_PLANNED,Существует удобный раздел с финансами,2,2026-06-01 15:20:44.200000
48,"Чуть поменял формат тренировок, один день отжимания и плечи, день ног и пресса, день парка с подтягиваниями и брусьями.","Тренировки пока что не меняются все также день парк, день дома",0,AS_PLANNED,Не пропускаю тренировки,7,2026-06-28 15:20:44.200000
68,"","",0,IN_PROGRESS,Я сходил к врачу по поводу спины и узнал все нюансы по моему состоянию,9,2026-06-28 15:20:44.200000
53,"","",0,IN_PROGRESS,Устроиться на работу java-разработчиком,8,2026-06-28 15:20:44.200000
62,"",Узнать что мне нужно делать для лучшего самочувствия и какие есть ограничения.,0,IN_PROGRESS,Сходить к врачу по поводу спины,8,2026-06-28 15:20:44.200000
15,"План есть, упражнения есть, даже есть оценка и уже 3 дня занимаюсь","Я составил план по обучению английскому языку, у меня есть упражнения или курс по которому я иду.",0,EXCEEDED,План по английскому,3,2026-06-01 15:20:44.200000
45,"Все сделано, документы поданы, составлен план для обучения, решаю демонстрационные варианты.",Также тут нужно начать минимально готовится к внутренним экзаменам.,0,AS_PLANNED,Сходить в ВУЗ и подать документы для поступления на заочку.,6,2026-06-21 15:20:44.200000
44,"Съездил до шуховской башни там красивый вид, но сама площадка к сожалению была закрыта.",Выбираю любой день возможно выходной или свободные будни и отправляюсь в поход.,0,AS_PLANNED,В любой день сходить до шуховской башни,6,2026-06-21 15:20:44.200000
42,"Это было не легко, но я это сделал все круто.",По 50 откликов в день и можно день отдохнуть от них.,0,AS_PLANNED,Сделано 200 откликов,6,2026-06-21 15:20:44.200000
43,Сделал список площадок где еще можно найти работу.,У меня должны быть альтернативы для поиска работы кроме hh,0,AS_PLANNED,Найдены другие площадки для поиска работы,6,2026-06-21 15:20:44.200000
17,"Расписаны все нюансы, готов раздел все есть.","У меня есть легенда обо мне, есть причина ухода и почему такой перерыв и есть ответы про самые сложные задачи и ошибки. Знаю какую хочу зарплату.",0,AS_PLANNED,У меня готов раздел и все шпарглалки для собесов,3,2026-06-01 15:20:44.200000
26,"Так же все ок, английский по немногу улучшается.","Занимаюсь по будням каждый день, на выходных по желанию.",0,AS_PLANNED,Пройти 5 дней английского,4,2026-06-07 15:20:44.200000
35,Почитал книгу 2 дня и не хочется больше тратить на нее время. Нет хороших идей.,Также занимаюсь упражнениями и узнаю новую теорию,0,NOT_STARTED,Книге уделено 100 минут за эту неделю,5,2026-06-14 15:20:44.200000
66,"",Запинки могут быть но его хорошо знаю и могу играть.,0,IN_PROGRESS,Я могу полноценно сыграть Ludovico Einaudi - Una Mattina,9,2026-06-28 15:20:44.200000
71,"Я конечно не проверял в конце месяца, но все равно силовые не сильно изменились. Больше на поддержание сейчас работает.","Я могу делать 40 отжиманий, 14 подтягиваний, 26 брусьев. ",0,HARDER,Мои силовые улучшились,10,2026-06-28 15:20:44.200000
78,"Не сделал, тут есть свои сложности с поликлиникой.",Записаться к неврологу и узнать проконсультироваться с ним по поводу спины.,0,NOT_STARTED,Записать к неврологу,10,2026-06-28 15:20:44.200000
74,Записался на другое число для сдачи экзаменов и немного готовлюсь. Из плюсов будет удаленно и достаточно сдать один экзамен.,"Занимался каждый день, кроме воскресенья, готовился и сдал на нужные баллы.",0,HARDER,Я подготовился и прошел вступительные в ВУЗ,10,2026-06-28 15:20:44.200000
22,Сделано все запланированное,"В разделе финансов, есть информация по кэшбекам и историчность.",0,AS_PLANNED,Улучшен раздел финансов,4,2026-06-07 15:20:44.200000
30,"Поменял формат уроков, но доволен тем как сделано",Тут ничего сложно просто работаем,0,AS_PLANNED,Пройдено 5 дней по английскому,5,2026-06-14 15:20:44.200000
