15,2026-08-31,MONTH,2026-08-01,IN_PROGRESS,Август 2026,
16,2026-08-09,WEEK,2026-08-03,AS_PLANNED,03.08.2026 - 09.08.2026,"Неделя была интересная, было кучу встреч с разными людьми и общения со старыми друзьями, решил для себя несколько дел. Данной неделей доволен и считаю что прошло как и планировал, в некоторых моментах хуже, в некоторых лучше."
17,2026-08-16,WEEK,2026-08-10,IN_PROGRESS,10.08.2026 - 16.08.2026,
1,2026-05-31,WEEK,2026-05-25,EXCEEDED,25.05.2026 - 31.05.2026,
3,2026-06-07,WEEK,2026-06-01,EXCEEDED,01.06.2026 - 07.06.2026,
4,2026-06-14,WEEK,2026-06-08,AS_PLANNED,08.06.2026 - 14.06.2026,
5,2026-06-21,WEEK,2026-06-15,HARDER,15.06.2026 - 21.06.2026,"На неделе очень сильно поменялись некоторые приоритеты:
Во первых начали приходить приглашения на собеседования, на этой неделе их было 3.
Во вторых нужно было пройти свои собеседования для центра занятости их тоже было 2 и вообще в сам центр занятости нужно было сходить.
В третьих я решил все таки снова поступать в ВУЗ.
В четвертых уроки по пианино усложнились и нужно больше времени на их прохождение.

На рутинные дела тратил меньше время и приоритет был в основном на поиск работы. Поэтому много было дел которых не было в планировании."
6,2026-06-28,WEEK,2026-06-22,AS_PLANNED,22.06.2026 - 28.06.2026,"Очень насыщенная неделя получались, сделано множество дел все супер, мне понравилось."
8,2026-12-31,YEAR,2026-01-01,IN_PROGRESS,2026,
9,2026-09-30,QUARTER,2026-07-01,IN_PROGRESS,3 квартал 2026,
2,2026-06-30,MONTH,2026-06-01,AS_PLANNED,Июнь 2026,
7,2026-07-05,WEEK,2026-06-29,AS_PLANNED,29.06.2026 - 05.07.2026,""
11,2026-07-12,WEEK,2026-07-06,HARDER,06.07.2026 - 12.07.2026,"Неделя была максимально непредсказуемой очень много событий приходило которые я не планировал, как минимум я устроился на работу на этой неделе и прошел еще несколько собеседований в другие фирмы. Некоторые вещи из-за этого пришлось подвинуть и подкорректировать, но я с этим успешно справился. "
12,2026-07-19,WEEK,2026-07-13,HARDER,13.07.2026 - 19.07.2026,"Работа забрала кучу времени и мне не хватало сил на остальные дела, думаю нужно будет потихонечку все возвращать но понемножку."
13,2026-07-26,WEEK,2026-07-20,AS_PLANNED,20.07.2026 - 26.07.2026,
14,2026-08-02,WEEK,2026-07-27,HARDER,27.07.2026 - 02.08.2026,"Эта неделя была очень большая на события, во первых было собеседования в понедельник, также были похороны у моего дяди, вообщем такая большая на события, увидел много старых знакомых."
10,2026-07-31,MONTH,2026-07-01,HARDER,Июль 2026,"В этом месяце я нашел работу и времени на остальные вещи стало сильно меньше, поэтому потратил время на адаптацию и на то чтобы все привычки включать в мою ежедневную рутину. Плюс небольшая приоритизация произошла. Хоть я и ставлю статус сложнее на самом деле я доволен данным месяцем."
