3,false,Готов раздел калькулятор калории,0,2,false
5,false,"Я захожу на главную страницу и закрываю 80% своих ежедневных мелких задач, не сворачивая приложение и не открывая браузер.",,2,true
59,true,Сходил на 3 реальных собеседования. Не умер,14,5,false
4,false,Готов раздел с планированием,1,2,false
22,true,"Объясняю synchronized: метод vs блок, что блокируется",1,5,false
23,true,"Объясняю volatile: что гарантирует, что нет, пример",2,5,false
31,true,Пишу GROUP BY с HAVING. Объясняю WHERE vs HAVING,20,5,false
60,true,"После каждого собеса записал вопросы, на которых поплыл. Разобрал",15,5,false
32,true,Пишу запрос с подзапросом в WHERE или FROM,21,5,false
24,true,"Объясняю Deadlock: что это, как выглядит код, как избежать",3,5,false
25,true,"Объясняю ExecutorService: зачем, как создать, пример с submit",4,5,false
26,true,"Понимаю Future: что это, как получить результат",5,5,false
27,true,Понимаю ConcurrentHashMap: чем лучше synchronizedMap,6,5,false
28,true,"Понимаю AtomicInteger: зачем, как работает без synchronized",7,5,false
33,true,"Объясняю, что такое индекс, как смотреть EXPLAIN",8,5,false
34,true,Понимаю UNION vs UNION ALL,22,5,false
38,true,"Пишу groupingBy и объясняю, что получается",23,5,false
39,true,Пишу flatMap на примере списка списков,24,5,false
53,true,"Знаю разницу at-least-once, at-most-once, exactly-once",9,5,false
55,true,"Знаю, что такое CI/CD и зачем Docker",10,5,false
56,true,"Понимаю SOLID: знаю каждую букву, могу объяснить D и S",11,5,false
40,true,Пишу reduce для суммы/максимума,25,5,false
41,true,Понимаю findFirst vs findAny,26,5,false
42,true,Превращаю цикл for с if внутри в стрим за 30 секунд,27,5,false
15,true,"Объясняю String pool: что это, зачем, как работает == vs equals",31,5,false
16,true,"Объясняю checked vs unchecked исключения: примеры, когда что",32,5,false
19,true,"Объясняю final, finally, finalize: разница, когда что",35,5,false
29,true,"Пишу SELECT с WHERE, ORDER BY, LIMIT без подсказок",37,5,false
30,true,Пишу JOIN и LEFT JOIN на двух таблицах. Объясняю разницу,38,5,false
35,true,"Знаю, что такое транзакция и ACID",39,5,false
43,true,Объясняю DI/IoC своими словами с примером,42,5,false
57,true,Прошёл 1 пробный собес с другом/на платформе. Не провалился,12,5,false
10,true,"Рассказываю о себе. Рассказываю свой проект.  Без запинок. В запись себе нравится. Собеседник сказал ""понятно, интересно"".",0,5,false
52,true,"Понимаю Kafka: топик, партиция, consumer group",29,5,false
54,true,Объясняю Circuit Breaker на аналогии,51,5,false
58,false,Решил 5 задач на Codewars/LeetCode Easy с голосовым объяснением,13,5,false
9,false,Я полон уверенности и прохожу собеседования,,5,true
